hunk_id,group,path,old_start,old_count,new_start,new_count,claim,evidence,disposition,legacy_review,az_review
Code/Editor/Controls/ReflectedPropertyControl/ReflectedPropertyItem.h#1,consumers,Code/Editor/Controls/ReflectedPropertyControl/ReflectedPropertyItem.h,14,1,14,2,Use an equivalent AZ/AZStd contract or remove a proven dead dependency.,See CryCommonMigrationValidation.md and category tests.,accept,pending frozen-SHA signoff,pending frozen-SHA signoff
Code/Editor/Controls/ReflectedPropertyControl/ReflectedPropertyItem.h#2,consumers,Code/Editor/Controls/ReflectedPropertyControl/ReflectedPropertyItem.h,32,2,33,1,Use an equivalent AZ/AZStd contract or remove a proven dead dependency.,See CryCommonMigrationValidation.md and category tests.,accept,pending frozen-SHA signoff,pending frozen-SHA signoff
Code/Editor/Controls/ReflectedPropertyControl/ReflectedPropertyItem.h#3,consumers,Code/Editor/Controls/ReflectedPropertyControl/ReflectedPropertyItem.h,40,1,40,4,Use an equivalent AZ/AZStd contract or remove a proven dead dependency.,See CryCommonMigrationValidation.md and category tests.,accept,pending frozen-SHA signoff,pending frozen-SHA signoff
Code/Editor/Controls/ReflectedPropertyControl/ReflectedPropertyItem.h#4,consumers,Code/Editor/Controls/ReflectedPropertyControl/ReflectedPropertyItem.h,48,1,51,1,Use an equivalent AZ/AZStd contract or remove a proven dead dependency.,See CryCommonMigrationValidation.md and category tests.,accept,pending frozen-SHA signoff,pending frozen-SHA signoff
Code/Editor/Controls/ReflectedPropertyControl/ReflectedPropertyItem.h#5,consumers,Code/Editor/Controls/ReflectedPropertyControl/ReflectedPropertyItem.h,51,1,54,1,Use an equivalent AZ/AZStd contract or remove a proven dead dependency.,See CryCommonMigrationValidation.md and category tests.,accept,pending frozen-SHA signoff,pending frozen-SHA signoff
Code/Editor/Controls/ReflectedPropertyControl/ReflectedPropertyItem.h#6,consumers,Code/Editor/Controls/ReflectedPropertyControl/ReflectedPropertyItem.h,54,1,57,1,Use an equivalent AZ/AZStd contract or remove a proven dead dependency.,See CryCommonMigrationValidation.md and category tests.,accept,pending frozen-SHA signoff,pending frozen-SHA signoff
Code/Editor/Controls/ReflectedPropertyControl/ReflectedPropertyItem.h#7,consumers,Code/Editor/Controls/ReflectedPropertyControl/ReflectedPropertyItem.h,58,1,61,4,Use an equivalent AZ/AZStd contract or remove a proven dead dependency.,See CryCommonMigrationValidation.md and category tests.,accept,pending frozen-SHA signoff,pending frozen-SHA signoff
Code/Editor/Controls/ReflectedPropertyControl/ReflectedPropertyItem.h#8,consumers,Code/Editor/Controls/ReflectedPropertyControl/ReflectedPropertyItem.h,62,2,68,8,Use an equivalent AZ/AZStd contract or remove a proven dead dependency.,See CryCommonMigrationValidation.md and category tests.,accept,pending frozen-SHA signoff,pending frozen-SHA signoff
Code/Editor/Controls/ReflectedPropertyControl/ReflectedPropertyItem.h#9,consumers,Code/Editor/Controls/ReflectedPropertyControl/ReflectedPropertyItem.h,66,2,78,5,Use an equivalent AZ/AZStd contract or remove a proven dead dependency.,See CryCommonMigrationValidation.md and category tests.,accept,pending frozen-SHA signoff,pending frozen-SHA signoff
Code/Editor/Controls/ReflectedPropertyControl/ReflectedPropertyItem.h#10,consumers,Code/Editor/Controls/ReflectedPropertyControl/ReflectedPropertyItem.h,70,2,85,5,Use an equivalent AZ/AZStd contract or remove a proven dead dependency.,See CryCommonMigrationValidation.md and category tests.,accept,pending frozen-SHA signoff,pending frozen-SHA signoff
Code/Editor/Controls/ReflectedPropertyControl/ReflectedPropertyItem.h#11,consumers,Code/Editor/Controls/ReflectedPropertyControl/ReflectedPropertyItem.h,74,2,92,5,Use an equivalent AZ/AZStd contract or remove a proven dead dependency.,See CryCommonMigrationValidation.md and category tests.,accept,pending frozen-SHA signoff,pending frozen-SHA signoff
Code/Editor/Controls/ReflectedPropertyControl/ReflectedPropertyItem.h#12,consumers,Code/Editor/Controls/ReflectedPropertyControl/ReflectedPropertyItem.h,78,3,99,5,Use an equivalent AZ/AZStd contract or remove a proven dead dependency.,See CryCommonMigrationValidation.md and category tests.,accept,pending frozen-SHA signoff,pending frozen-SHA signoff
Code/Editor/Controls/ReflectedPropertyControl/ReflectedPropertyItem.h#13,consumers,Code/Editor/Controls/ReflectedPropertyControl/ReflectedPropertyItem.h,83,1,106,1,Use an equivalent AZ/AZStd contract or remove a proven dead dependency.,See CryCommonMigrationValidation.md and category tests.,accept,pending frozen-SHA signoff,pending frozen-SHA signoff
Code/Editor/Controls/ReflectedPropertyControl/ReflectedPropertyItem.h#14,consumers,Code/Editor/Controls/ReflectedPropertyControl/ReflectedPropertyItem.h,86,3,109,3,Use an equivalent AZ/AZStd contract or remove a proven dead dependency.,See CryCommonMigrationValidation.md and category tests.,accept,pending frozen-SHA signoff,pending frozen-SHA signoff
Code/Editor/Controls/ReflectedPropertyControl/ReflectedPropertyItem.h#15,consumers,Code/Editor/Controls/ReflectedPropertyControl/ReflectedPropertyItem.h,106,2,129,3,Use an equivalent AZ/AZStd contract or remove a proven dead dependency.,See CryCommonMigrationValidation.md and category tests.,accept,pending frozen-SHA signoff,pending frozen-SHA signoff
Code/Editor/Controls/ReflectedPropertyControl/ReflectedPropertyItem.h#16,consumers,Code/Editor/Controls/ReflectedPropertyControl/ReflectedPropertyItem.h,123,1,147,4,Use an equivalent AZ/AZStd contract or remove a proven dead dependency.,See CryCommonMigrationValidation.md and category tests.,accept,pending frozen-SHA signoff,pending frozen-SHA signoff
Code/Editor/Controls/ReflectedPropertyControl/ReflectedPropertyItem.h#17,consumers,Code/Editor/Controls/ReflectedPropertyControl/ReflectedPropertyItem.h,125,2,152,8,Use an equivalent AZ/AZStd contract or remove a proven dead dependency.,See CryCommonMigrationValidation.md and category tests.,accept,pending frozen-SHA signoff,pending frozen-SHA signoff
Code/Editor/Controls/ReflectedPropertyControl/ReflectedPropertyItem.h#18,consumers,Code/Editor/Controls/ReflectedPropertyControl/ReflectedPropertyItem.h,129,1,162,1,Use an equivalent AZ/AZStd contract or remove a proven dead dependency.,See CryCommonMigrationValidation.md and category tests.,accept,pending frozen-SHA signoff,pending frozen-SHA signoff
Code/Editor/Controls/ReflectedPropertyControl/ReflectedPropertyItem.h#19,consumers,Code/Editor/Controls/ReflectedPropertyControl/ReflectedPropertyItem.h,137,1,170,1,Use an equivalent AZ/AZStd contract or remove a proven dead dependency.,See CryCommonMigrationValidation.md and category tests.,accept,pending frozen-SHA signoff,pending frozen-SHA signoff
Code/Editor/Controls/ReflectedPropertyControl/ReflectedPropertyItem.h#20,consumers,Code/Editor/Controls/ReflectedPropertyControl/ReflectedPropertyItem.h,140,1,173,1,Use an equivalent AZ/AZStd contract or remove a proven dead dependency.,See CryCommonMigrationValidation.md and category tests.,accept,pending frozen-SHA signoff,pending frozen-SHA signoff
Code/Editor/Controls/ReflectedPropertyControl/ReflectedPropertyItem.h#21,consumers,Code/Editor/Controls/ReflectedPropertyControl/ReflectedPropertyItem.h,145,1,178,1,Use an equivalent AZ/AZStd contract or remove a proven dead dependency.,See CryCommonMigrationValidation.md and category tests.,accept,pending frozen-SHA signoff,pending frozen-SHA signoff
Code/Editor/Controls/SplineCtrl.cpp#1,consumers,Code/Editor/Controls/SplineCtrl.cpp,618,2,618,2,Use an equivalent AZ/AZStd contract or remove a proven dead dependency.,See CryCommonMigrationValidation.md and category tests.,accept,pending frozen-SHA signoff,pending frozen-SHA signoff
Code/Editor/Controls/SplineCtrlEx.cpp#1,consumers,Code/Editor/Controls/SplineCtrlEx.cpp,325,1,325,1,Use an equivalent AZ/AZStd contract or remove a proven dead dependency.,See CryCommonMigrationValidation.md and category tests.,accept,pending frozen-SHA signoff,pending frozen-SHA signoff
Code/Editor/Controls/SplineCtrlEx.cpp#2,consumers,Code/Editor/Controls/SplineCtrlEx.cpp,327,1,327,1,Use an equivalent AZ/AZStd contract or remove a proven dead dependency.,See CryCommonMigrationValidation.md and category tests.,accept,pending frozen-SHA signoff,pending frozen-SHA signoff
Code/Editor/Controls/SplineCtrlEx.cpp#3,consumers,Code/Editor/Controls/SplineCtrlEx.cpp,330,1,330,1,Use an equivalent AZ/AZStd contract or remove a proven dead dependency.,See CryCommonMigrationValidation.md and category tests.,accept,pending frozen-SHA signoff,pending frozen-SHA signoff
Code/Editor/Controls/SplineCtrlEx.cpp#4,consumers,Code/Editor/Controls/SplineCtrlEx.cpp,332,1,332,1,Use an equivalent AZ/AZStd contract or remove a proven dead dependency.,See CryCommonMigrationValidation.md and category tests.,accept,pending frozen-SHA signoff,pending frozen-SHA signoff
Code/Editor/Controls/SplineCtrlEx.cpp#5,consumers,Code/Editor/Controls/SplineCtrlEx.cpp,336,1,336,1,Use an equivalent AZ/AZStd contract or remove a proven dead dependency.,See CryCommonMigrationValidation.md and category tests.,accept,pending frozen-SHA signoff,pending frozen-SHA signoff
Code/Editor/Controls/SplineCtrlEx.cpp#6,consumers,Code/Editor/Controls/SplineCtrlEx.cpp,339,1,339,1,Use an equivalent AZ/AZStd contract or remove a proven dead dependency.,See CryCommonMigrationValidation.md and category tests.,accept,pending frozen-SHA signoff,pending frozen-SHA signoff
Code/Editor/Controls/SplineCtrlEx.cpp#7,consumers,Code/Editor/Controls/SplineCtrlEx.cpp,342,1,342,1,Use an equivalent AZ/AZStd contract or remove a proven dead dependency.,See CryCommonMigrationValidation.md and category tests.,accept,pending frozen-SHA signoff,pending frozen-SHA signoff
Code/Editor/Controls/SplineCtrlEx.cpp#8,consumers,Code/Editor/Controls/SplineCtrlEx.cpp,348,1,348,1,Use an equivalent AZ/AZStd contract or remove a proven dead dependency.,See CryCommonMigrationValidation.md and category tests.,accept,pending frozen-SHA signoff,pending frozen-SHA signoff
Code/Editor/Controls/SplineCtrlEx.cpp#9,consumers,Code/Editor/Controls/SplineCtrlEx.cpp,350,2,350,2,Use an equivalent AZ/AZStd contract or remove a proven dead dependency.,See CryCommonMigrationValidation.md and category tests.,accept,pending frozen-SHA signoff,pending frozen-SHA signoff
Code/Editor/Controls/SplineCtrlEx.cpp#10,consumers,Code/Editor/Controls/SplineCtrlEx.cpp,354,1,354,1,Use an equivalent AZ/AZStd contract or remove a proven dead dependency.,See CryCommonMigrationValidation.md and category tests.,accept,pending frozen-SHA signoff,pending frozen-SHA signoff
Code/Editor/Controls/SplineCtrlEx.cpp#11,consumers,Code/Editor/Controls/SplineCtrlEx.cpp,361,1,361,1,Use an equivalent AZ/AZStd contract or remove a proven dead dependency.,See CryCommonMigrationValidation.md and category tests.,accept,pending frozen-SHA signoff,pending frozen-SHA signoff
Code/Editor/Controls/SplineCtrlEx.cpp#12,consumers,Code/Editor/Controls/SplineCtrlEx.cpp,363,1,363,1,Use an equivalent AZ/AZStd contract or remove a proven dead dependency.,See CryCommonMigrationValidation.md and category tests.,accept,pending frozen-SHA signoff,pending frozen-SHA signoff
Code/Editor/Controls/SplineCtrlEx.cpp#13,consumers,Code/Editor/Controls/SplineCtrlEx.cpp,522,1,522,1,Use an equivalent AZ/AZStd contract or remove a proven dead dependency.,See CryCommonMigrationValidation.md and category tests.,accept,pending frozen-SHA signoff,pending frozen-SHA signoff
Code/Editor/Controls/SplineCtrlEx.cpp#14,consumers,Code/Editor/Controls/SplineCtrlEx.cpp,621,1,621,1,Use an equivalent AZ/AZStd contract or remove a proven dead dependency.,See CryCommonMigrationValidation.md and category tests.,accept,pending frozen-SHA signoff,pending frozen-SHA signoff
Code/Editor/Controls/SplineCtrlEx.cpp#15,consumers,Code/Editor/Controls/SplineCtrlEx.cpp,634,1,634,1,Use an equivalent AZ/AZStd contract or remove a proven dead dependency.,See CryCommonMigrationValidation.md and category tests.,accept,pending frozen-SHA signoff,pending frozen-SHA signoff
Code/Editor/Controls/SplineCtrlEx.cpp#16,consumers,Code/Editor/Controls/SplineCtrlEx.cpp,641,1,641,1,Use an equivalent AZ/AZStd contract or remove a proven dead dependency.,See CryCommonMigrationValidation.md and category tests.,accept,pending frozen-SHA signoff,pending frozen-SHA signoff
Code/Editor/Controls/SplineCtrlEx.cpp#17,consumers,Code/Editor/Controls/SplineCtrlEx.cpp,647,2,647,2,Use an equivalent AZ/AZStd contract or remove a proven dead dependency.,See CryCommonMigrationValidation.md and category tests.,accept,pending frozen-SHA signoff,pending frozen-SHA signoff
Code/Editor/Controls/SplineCtrlEx.cpp#18,consumers,Code/Editor/Controls/SplineCtrlEx.cpp,655,2,655,2,Use an equivalent AZ/AZStd contract or remove a proven dead dependency.,See CryCommonMigrationValidation.md and category tests.,accept,pending frozen-SHA signoff,pending frozen-SHA signoff
Code/Editor/Controls/SplineCtrlEx.cpp#19,consumers,Code/Editor/Controls/SplineCtrlEx.cpp,667,1,667,1,Use an equivalent AZ/AZStd contract or remove a proven dead dependency.,See CryCommonMigrationValidation.md and category tests.,accept,pending frozen-SHA signoff,pending frozen-SHA signoff
Code/Editor/Controls/SplineCtrlEx.cpp#20,consumers,Code/Editor/Controls/SplineCtrlEx.cpp,675,1,675,1,Use an equivalent AZ/AZStd contract or remove a proven dead dependency.,See CryCommonMigrationValidation.md and category tests.,accept,pending frozen-SHA signoff,pending frozen-SHA signoff
Code/Editor/Controls/SplineCtrlEx.cpp#21,consumers,Code/Editor/Controls/SplineCtrlEx.cpp,677,1,677,1,Use an equivalent AZ/AZStd contract or remove a proven dead dependency.,See CryCommonMigrationValidation.md and category tests.,accept,pending frozen-SHA signoff,pending frozen-SHA signoff
Code/Editor/Controls/SplineCtrlEx.cpp#22,consumers,Code/Editor/Controls/SplineCtrlEx.cpp,737,4,737,4,Use an equivalent AZ/AZStd contract or remove a proven dead dependency.,See CryCommonMigrationValidation.md and category tests.,accept,pending frozen-SHA signoff,pending frozen-SHA signoff
Code/Editor/Controls/SplineCtrlEx.cpp#23,consumers,Code/Editor/Controls/SplineCtrlEx.cpp,796,1,796,1,Use an equivalent AZ/AZStd contract or remove a proven dead dependency.,See CryCommonMigrationValidation.md and category tests.,accept,pending frozen-SHA signoff,pending frozen-SHA signoff
Code/Editor/Controls/SplineCtrlEx.cpp#24,consumers,Code/Editor/Controls/SplineCtrlEx.cpp,889,1,889,1,Use an equivalent AZ/AZStd contract or remove a proven dead dependency.,See CryCommonMigrationValidation.md and category tests.,accept,pending frozen-SHA signoff,pending frozen-SHA signoff
Code/Editor/Controls/SplineCtrlEx.cpp#25,consumers,Code/Editor/Controls/SplineCtrlEx.cpp,981,1,981,1,Use an equivalent AZ/AZStd contract or remove a proven dead dependency.,See CryCommonMigrationValidation.md and category tests.,accept,pending frozen-SHA signoff,pending frozen-SHA signoff
Code/Editor/Controls/SplineCtrlEx.cpp#26,consumers,Code/Editor/Controls/SplineCtrlEx.cpp,1371,2,1371,2,Use an equivalent AZ/AZStd contract or remove a proven dead dependency.,See CryCommonMigrationValidation.md and category tests.,accept,pending frozen-SHA signoff,pending frozen-SHA signoff
Code/Editor/Controls/SplineCtrlEx.cpp#27,consumers,Code/Editor/Controls/SplineCtrlEx.cpp,1375,1,1375,1,Use an equivalent AZ/AZStd contract or remove a proven dead dependency.,See CryCommonMigrationValidation.md and category tests.,accept,pending frozen-SHA signoff,pending frozen-SHA signoff
Code/Editor/Controls/SplineCtrlEx.cpp#28,consumers,Code/Editor/Controls/SplineCtrlEx.cpp,1379,1,1379,1,Use an equivalent AZ/AZStd contract or remove a proven dead dependency.,See CryCommonMigrationValidation.md and category tests.,accept,pending frozen-SHA signoff,pending frozen-SHA signoff
Code/Editor/Controls/SplineCtrlEx.cpp#29,consumers,Code/Editor/Controls/SplineCtrlEx.cpp,1395,1,1395,1,Use an equivalent AZ/AZStd contract or remove a proven dead dependency.,See CryCommonMigrationValidation.md and category tests.,accept,pending frozen-SHA signoff,pending frozen-SHA signoff
Code/Editor/Controls/SplineCtrlEx.cpp#30,consumers,Code/Editor/Controls/SplineCtrlEx.cpp,1408,1,1408,1,Use an equivalent AZ/AZStd contract or remove a proven dead dependency.,See CryCommonMigrationValidation.md and category tests.,accept,pending frozen-SHA signoff,pending frozen-SHA signoff
Code/Editor/Controls/SplineCtrlEx.cpp#31,consumers,Code/Editor/Controls/SplineCtrlEx.cpp,1412,1,1412,1,Use an equivalent AZ/AZStd contract or remove a proven dead dependency.,See CryCommonMigrationValidation.md and category tests.,accept,pending frozen-SHA signoff,pending frozen-SHA signoff
Code/Editor/Controls/SplineCtrlEx.cpp#32,consumers,Code/Editor/Controls/SplineCtrlEx.cpp,1414,1,1414,1,Use an equivalent AZ/AZStd contract or remove a proven dead dependency.,See CryCommonMigrationValidation.md and category tests.,accept,pending frozen-SHA signoff,pending frozen-SHA signoff
Code/Editor/Controls/SplineCtrlEx.cpp#33,consumers,Code/Editor/Controls/SplineCtrlEx.cpp,1619,1,1619,1,Use an equivalent AZ/AZStd contract or remove a proven dead dependency.,See CryCommonMigrationValidation.md and category tests.,accept,pending frozen-SHA signoff,pending frozen-SHA signoff
Code/Editor/Controls/SplineCtrlEx.cpp#34,consumers,Code/Editor/Controls/SplineCtrlEx.cpp,1770,1,1770,1,Use an equivalent AZ/AZStd contract or remove a proven dead dependency.,See CryCommonMigrationValidation.md and category tests.,accept,pending frozen-SHA signoff,pending frozen-SHA signoff
Code/Editor/Controls/SplineCtrlEx.cpp#35,consumers,Code/Editor/Controls/SplineCtrlEx.cpp,1877,1,1877,1,Use an equivalent AZ/AZStd contract or remove a proven dead dependency.,See CryCommonMigrationValidation.md and category tests.,accept,pending frozen-SHA signoff,pending frozen-SHA signoff
Code/Editor/Controls/SplineCtrlEx.cpp#36,consumers,Code/Editor/Controls/SplineCtrlEx.cpp,1978,2,1978,2,Use an equivalent AZ/AZStd contract or remove a proven dead dependency.,See CryCommonMigrationValidation.md and category tests.,accept,pending frozen-SHA signoff,pending frozen-SHA signoff
Code/Editor/Controls/SplineCtrlEx.cpp#37,consumers,Code/Editor/Controls/SplineCtrlEx.cpp,1987,1,1987,1,Use an equivalent AZ/AZStd contract or remove a proven dead dependency.,See CryCommonMigrationValidation.md and category tests.,accept,pending frozen-SHA signoff,pending frozen-SHA signoff
Code/Editor/Controls/SplineCtrlEx.cpp#38,consumers,Code/Editor/Controls/SplineCtrlEx.cpp,2086,4,2086,4,Use an equivalent AZ/AZStd contract or remove a proven dead dependency.,See CryCommonMigrationValidation.md and category tests.,accept,pending frozen-SHA signoff,pending frozen-SHA signoff
Code/Editor/Controls/SplineCtrlEx.cpp#39,consumers,Code/Editor/Controls/SplineCtrlEx.cpp,2112,2,2112,2,Use an equivalent AZ/AZStd contract or remove a proven dead dependency.,See CryCommonMigrationValidation.md and category tests.,accept,pending frozen-SHA signoff,pending frozen-SHA signoff
Code/Editor/Controls/SplineCtrlEx.cpp#40,consumers,Code/Editor/Controls/SplineCtrlEx.cpp,2115,2,2115,2,Use an equivalent AZ/AZStd contract or remove a proven dead dependency.,See CryCommonMigrationValidation.md and category tests.,accept,pending frozen-SHA signoff,pending frozen-SHA signoff
Code/Editor/Controls/SplineCtrlEx.cpp#41,consumers,Code/Editor/Controls/SplineCtrlEx.cpp,2203,1,2203,1,Use an equivalent AZ/AZStd contract or remove a proven dead dependency.,See CryCommonMigrationValidation.md and category tests.,accept,pending frozen-SHA signoff,pending frozen-SHA signoff
Code/Editor/Controls/SplineCtrlEx.cpp#42,consumers,Code/Editor/Controls/SplineCtrlEx.cpp,2224,1,2224,1,Use an equivalent AZ/AZStd contract or remove a proven dead dependency.,See CryCommonMigrationValidation.md and category tests.,accept,pending frozen-SHA signoff,pending frozen-SHA signoff
Code/Editor/Controls/SplineCtrlEx.cpp#43,consumers,Code/Editor/Controls/SplineCtrlEx.cpp,2241,1,2241,1,Use an equivalent AZ/AZStd contract or remove a proven dead dependency.,See CryCommonMigrationValidation.md and category tests.,accept,pending frozen-SHA signoff,pending frozen-SHA signoff
Code/Editor/Controls/SplineCtrlEx.cpp#44,consumers,Code/Editor/Controls/SplineCtrlEx.cpp,2794,6,2794,6,Use an equivalent AZ/AZStd contract or remove a proven dead dependency.,See CryCommonMigrationValidation.md and category tests.,accept,pending frozen-SHA signoff,pending frozen-SHA signoff
Code/Editor/Controls/SplineCtrlEx.cpp#45,consumers,Code/Editor/Controls/SplineCtrlEx.cpp,3085,3,3085,3,Use an equivalent AZ/AZStd contract or remove a proven dead dependency.,See CryCommonMigrationValidation.md and category tests.,accept,pending frozen-SHA signoff,pending frozen-SHA signoff
Code/Editor/Controls/SplineCtrlEx.cpp#46,consumers,Code/Editor/Controls/SplineCtrlEx.cpp,3100,2,3100,2,Use an equivalent AZ/AZStd contract or remove a proven dead dependency.,See CryCommonMigrationValidation.md and category tests.,accept,pending frozen-SHA signoff,pending frozen-SHA signoff
Code/Editor/Controls/SplineCtrlEx.cpp#47,consumers,Code/Editor/Controls/SplineCtrlEx.cpp,3104,1,3104,1,Use an equivalent AZ/AZStd contract or remove a proven dead dependency.,See CryCommonMigrationValidation.md and category tests.,accept,pending frozen-SHA signoff,pending frozen-SHA signoff
Code/Editor/Controls/SplineCtrlEx.cpp#48,consumers,Code/Editor/Controls/SplineCtrlEx.cpp,3106,1,3106,1,Use an equivalent AZ/AZStd contract or remove a proven dead dependency.,See CryCommonMigrationValidation.md and category tests.,accept,pending frozen-SHA signoff,pending frozen-SHA signoff
Code/Editor/Controls/SplineCtrlEx.cpp#49,consumers,Code/Editor/Controls/SplineCtrlEx.cpp,3113,2,3113,2,Use an equivalent AZ/AZStd contract or remove a proven dead dependency.,See CryCommonMigrationValidation.md and category tests.,accept,pending frozen-SHA signoff,pending frozen-SHA signoff
Code/Editor/Controls/SplineCtrlEx.cpp#50,consumers,Code/Editor/Controls/SplineCtrlEx.cpp,3116,3,3116,3,Use an equivalent AZ/AZStd contract or remove a proven dead dependency.,See CryCommonMigrationValidation.md and category tests.,accept,pending frozen-SHA signoff,pending frozen-SHA signoff
Code/Editor/Controls/SplineCtrlEx.cpp#51,consumers,Code/Editor/Controls/SplineCtrlEx.cpp,3209,1,3209,1,Use an equivalent AZ/AZStd contract or remove a proven dead dependency.,See CryCommonMigrationValidation.md and category tests.,accept,pending frozen-SHA signoff,pending frozen-SHA signoff
Code/Editor/Controls/SplineCtrlEx.cpp#52,consumers,Code/Editor/Controls/SplineCtrlEx.cpp,3262,1,3262,1,Use an equivalent AZ/AZStd contract or remove a proven dead dependency.,See CryCommonMigrationValidation.md and category tests.,accept,pending frozen-SHA signoff,pending frozen-SHA signoff
Code/Editor/Controls/SplineCtrlEx.h#1,consumers,Code/Editor/Controls/SplineCtrlEx.h,149,7,149,7,Use an equivalent AZ/AZStd contract or remove a proven dead dependency.,See CryCommonMigrationValidation.md and category tests.,accept,pending frozen-SHA signoff,pending frozen-SHA signoff
Code/Editor/Controls/SplineCtrlEx.h#2,consumers,Code/Editor/Controls/SplineCtrlEx.h,216,1,216,1,Use an equivalent AZ/AZStd contract or remove a proven dead dependency.,See CryCommonMigrationValidation.md and category tests.,accept,pending frozen-SHA signoff,pending frozen-SHA signoff
